is_Located_Outside_India,is_NCR,Counts_of_Restaurants_in_the_city,Average_Votes_per_Restaurant,Restaurants_in_city...5,Restaurants_in_city....25,Avg..daily.orders,Average_Cost_for_Two,Has_Table,Has_Online_Orders,Percentage.online.orders,Desserts,Café.Flag,is_Eco,is_Mid,is_High,Alcohol,Continental,Oriental,Oceanic,Asian,American,Café.Pub,Fast.Food,Desserts...Beverages,Latin.American,Arabic,International,Indian,Mediterranean,Health.Conscious,European,Votes_Value,isBad
1,0,0.003472222,0.02522604,0,1,0.76,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.045717487,FALSE
1,0,0.003472222,0.027712477,0,1,0.28,0.0004,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.049055698,FALSE
1,0,0.003472222,0.015958409,0,1,0,0.0025,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.026903847,FALSE
1,0,0.003472222,0.017495479,0,1,0.88,0.0025,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030232532,FALSE
1,0,0.003472222,0.034132007,0,1,0.96,0.0064,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06185789,FALSE
1,0,0.003472222,0.036166365,0,1,0.96,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.064020487,FALSE
1,0,0.003472222,0.015822785,0,1,0.12,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.027342083,FALSE
1,0,0.003472222,0.020976492,0,1,0.2,0.0064,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03624779,FALSE
1,0,0.003472222,0.024864376,0,1,0.48,0.0025,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.044014085,FALSE
1,0,0.003472222,0.02454792,0,1,0.88,0.0004,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.042419288,FALSE
1,0,0.003472222,0.0210217,0,1,0.52,0.0064,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.03632591,FALSE
1,0,0.003472222,0.024683544,0,1,1,0.0004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.045774648,FALSE
1,0,0.003472222,0.049638336,0,1,0.64,0.0004,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.092052314,FALSE
1,0,0.003472222,0.026175407,0,1,0.96,0.0025,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.046334827,FALSE
1,0,0.003472222,0.016907776,0,1,0.28,0.0004,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.029216968,FALSE
1,0,0.003472222,0.02477396,0,1,0.84,0.0064,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.051163039,FALSE
